words,links,capital_words,spam_word_count,is_spam
689,10,21,1,1
581,0,13,6,1
140,1,3,4,0
430,8,16,3,1
145,0,16,3,1
72,2,1,2,0
371,0,1,3,1
292,1,3,1,0
220,5,3,1,0
896,3,17,8,1
253,2,0,0,0
292,0,1,0,0
953,8,9,4,1
315,3,21,3,1
223,0,0,1,0
290,0,9,3,0
275,2,2,2,0
189,5,5,7,1
335,8,20,1,1
617,2,14,6,1
721,5,19,1,1
122,8,12,8,1
238,0,10,0,0
99,2,16,9,1
569,7,10,5,1
202,2,3,0,0
153,8,6,6,1
327,9,11,9,1
839,2,7,9,1
127,0,4,0,0
459,1,0,2,0
115,10,29,8,1
527,4,20,9,1
220,1,2,2,0
246,1,7,0,0
118,1,3,0,0
83,8,14,8,1
451,1,29,10,1
124,2,0,8,1
63,2,5,2,0
103,4,3,7,1
200,2,2,5,0
665,3,4,10,1
184,2,0,0,0
259,2,0,2,0
629,9,21,1,1
180,5,7,10,1
40,2,3,2,0
958,2,19,4,1
97,2,3,0,0
190,1,1,1,0
163,0,7,1,0
996,9,2,8,1
188,1,3,0,0
809,3,5,10,1
216,1,0,1,0
124,1,1,2,0
507,0,21,8,1
151,1,2,6,0
745,10,18,6,1
898,9,8,4,1
279,2,1,1,0
141,9,5,1,1
262,0,3,1,0
613,6,5,9,1
293,1,2,1,0
311,9,29,3,1
299,5,27,10,1
187,0,2,2,0
510,4,24,9,1
359,9,7,8,1
239,1,1,2,0
110,4,29,8,1
433,4,3,10,1
912,2,3,5,1
212,2,0,0,0
409,0,3,3,0
273,2,3,1,0
879,8,19,6,1
73,9,5,0,1
371,4,7,6,1
269,2,0,5,0
215,2,0,4,0
577,9,11,8,1
53,2,0,2,0
631,2,30,4,1
32,0,4,2,0
158,1,3,0,0
88,2,2,0,0
261,1,4,1,0
217,0,0,1,0
151,3,26,10,1
122,0,8,1,1
665,6,23,2,1
413,8,24,1,1
157,0,23,8,1
213,1,3,0,0
238,1,2,1,0
504,8,6,4,1
901,3,28,6,1
371,2,9,5,1
521,1,5,9,1
565,6,7,7,1
324,0,8,3,0
124,2,0,2,0
552,0,13,4,1
488,8,20,1,1
304,0,4,1,0
294,5,2,1,0
270,4,1,1,0
299,1,8,2,0
28,4,1,1,0
170,6,25,1,1
32,0,2,1,0
872,10,17,8,1
750,7,4,10,1
125,2,0,2,0
130,1,3,2,0
232,2,4,2,0
916,6,22,7,1
394,9,5,5,1
213,0,4,0,0
22,2,2,2,0
426,1,3,1,0
39,2,3,2,0
493,3,0,2,0
585,9,9,0,1
703,9,27,3,1
224,0,3,2,0
207,0,4,0,0
118,7,24,7,1
127,2,10,1,0
81,0,0,1,0
835,5,18,10,1
352,0,3,0,0
92,1,3,1,0
50,1,3,0,0
98,2,2,0,0
154,2,2,2,0
220,3,13,3,1
369,6,9,8,1
129,2,0,1,0
224,2,3,2,0
352,0,1,2,0
175,2,3,1,0
707,3,23,8,1
420,2,20,5,1
138,2,28,7,1
78,2,0,1,0
431,4,5,5,1
218,2,2,0,0
112,1,2,2,0
491,0,2,1,0
199,2,14,6,1
897,4,8,3,1
137,2,30,10,1
438,1,1,1,0
275,2,26,7,1
432,9,29,10,1
699,7,7,6,1
59,0,20,7,1
828,8,12,4,1
183,1,23,3,1
179,5,9,9,1
724,6,0,10,1
288,1,2,5,0
276,8,14,6,1
285,0,1,0,0
71,5,2,1,0
218,1,3,2,0
283,1,1,1,0
122,5,3,3,1
796,3,25,2,1
529,3,0,8,1
400,3,22,10,1
186,2,5,6,1
62,0,3,2,0
253,3,18,7,1
83,2,0,0,0
609,8,20,8,1
72,9,25,3,1
110,1,2,0,0
277,3,0,1,0
130,7,2,6,1
177,2,2,1,0
792,4,1,4,1
137,3,3,2,0
706,1,6,4,1
419,8,8,6,1
165,2,3,0,0
247,8,8,8,1
231,0,4,2,0
72,2,3,2,0
185,1,2,2,0
206,5,3,1,0
857,7,6,9,1
176,8,24,1,1
